"Data","Da Estrazione","A Estrazione","GAP","BetType","Profit"
"04-12-2024, 16:40:27","7918099","7918199","100","vicini dello zero","-5212.0"
"04-12-2024, 16:40:27","7938299","7938399","100","vicini dello zero","-5288.0"
"04-12-2024, 16:40:27","7958399","7958499","100","vicini dello zero","-5328.0"
"04-12-2024, 16:40:27","7972599","7972699","100","vicini dello zero","-5314.0"
"04-12-2024, 16:40:27","7993999","7994099","100","vicini dello zero","-5228.0"
"04-12-2024, 16:40:27","8066999","8067099","100","vicini dello zero","-5214.0"
"04-12-2024, 16:40:27","8094099","8094199","100","vicini dello zero","-5236.0"
"04-12-2024, 16:40:27","8094599","8094699","100","vicini dello zero","-5222.0"
"04-12-2024, 16:40:27","8095499","8095599","100","vicini dello zero","-5352.0"
"04-12-2024, 16:40:27","8121699","8121799","100","vicini dello zero","-5482.0"
"04-12-2024, 16:40:27","8131099","8131199","100","vicini dello zero","-5594.0"
"04-12-2024, 16:40:27","8219599","8219699","100","vicini dello zero","-5490.0"
"04-12-2024, 16:40:27","8274699","8274799","100","vicini dello zero","-5386.0"
"04-12-2024, 16:40:27","8320199","8320299","100","vicini dello zero","-5336.0"
"04-12-2024, 16:40:27","8363499","8363599","100","vicini dello zero","-5448.0"
"04-12-2024, 16:40:27","8366999","8367099","100","vicini dello zero","-5560.0"
"04-12-2024, 16:40:27","8392799","8392899","100","vicini dello zero","-5762.0"
"04-12-2024, 16:40:27","8416599","8416699","100","vicini dello zero","-5820.0"
"04-12-2024, 16:40:27","8487599","8487699","100","vicini dello zero","-5878.0"
"04-12-2024, 16:40:27","8529799","8529899","100","vicini dello zero","-5792.0"
"04-12-2024, 16:40:27","8538499","8538599","100","vicini dello zero","-5886.0"
"04-12-2024, 16:40:27","8554899","8554999","100","vicini dello zero","-5908.0"
"04-12-2024, 16:40:27","8566299","8566399","100","vicini dello zero","-5912.0"
"04-12-2024, 16:40:27","8578599","8578699","100","vicini dello zero","-5970.0"
"04-12-2024, 16:40:27","8634499","8634599","100","vicini dello zero","-5884.0"
"04-12-2024, 16:40:27","8644999","8645099","100","vicini dello zero","-5942.0"
"04-12-2024, 16:40:27","8721699","8721799","100","vicini dello zero","-5766.0"
"04-12-2024, 16:40:27","8795699","8795799","100","vicini dello zero","-5752.0"
"04-12-2024, 16:40:27","8834899","8834999","100","vicini dello zero","-5774.0"
"04-12-2024, 16:40:27","8920699","8920799","100","vicini dello zero","-5904.0"
"04-12-2024, 16:40:27","8925199","8925299","100","vicini dello zero","-5980.0"
"04-12-2024, 16:40:27","8935899","8935999","100","vicini dello zero","-5966.0"
"04-12-2024, 16:40:27","8963999","8964099","100","vicini dello zero","-6078.0"
"04-12-2024, 16:40:27","8976199","8976299","100","vicini dello zero","-6028.0"
"04-12-2024, 16:40:27","9049699","9049799","100","vicini dello zero","-5942.0"
"04-12-2024, 16:40:27","9065099","9065199","100","vicini dello zero","-5874.0"
"04-12-2024, 16:40:27","9089399","9089499","100","vicini dello zero","-5734.0"
"04-12-2024, 16:40:27","9198999","9199099","100","vicini dello zero","-5738.0"
"04-12-2024, 16:40:27","9212799","9212899","100","vicini dello zero","-5814.0"
"04-12-2024, 16:40:27","9217499","9217599","100","vicini dello zero","-5710.0"
"04-12-2024, 16:40:27","9235199","9235299","100","vicini dello zero","-5732.0"
"04-12-2024, 16:40:27","9268299","9268399","100","vicini dello zero","-5790.0"
"04-12-2024, 16:40:27","9316399","9316499","100","vicini dello zero","-5848.0"
"04-12-2024, 16:40:27","9320599","9320699","100","vicini dello zero","-5870.0"
"04-12-2024, 16:40:27","9339299","9339399","100","vicini dello zero","-6144.0"
"04-12-2024, 16:40:27","9374299","9374399","100","vicini dello zero","-6184.0"
"04-12-2024, 16:40:27","9378499","9378599","100","vicini dello zero","-6188.0"
"04-12-2024, 16:40:27","9395499","9395599","100","vicini dello zero","-6246.0"
"04-12-2024, 16:40:27","9396799","9396899","100","vicini dello zero","-6214.0"
"04-12-2024, 16:40:27","9436999","9437099","100","vicini dello zero","-6236.0"
"04-12-2024, 16:40:27","9442599","9442699","100","vicini dello zero","-6276.0"
"04-12-2024, 16:40:27","9602799","9602899","100","vicini dello zero","-6226.0"
"04-12-2024, 16:40:27","9619399","9619499","100","vicini dello zero","-6410.0"
"04-12-2024, 16:40:27","9698499","9698599","100","vicini dello zero","-6432.0"
"04-12-2024, 16:40:27","9744999","9745099","100","vicini dello zero","-6490.0"
"04-12-2024, 16:40:27","9752599","9752699","100","vicini dello zero","-6638.0"
"04-12-2024, 16:40:27","9761999","9762099","100","vicini dello zero","-6696.0"
"04-12-2024, 16:40:27","9788499","9788599","100","vicini dello zero","-6772.0"
