Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,As3s,0.155000001,27101.7324,24.0887702,237.092346,56.242531041,0,233.539108,94.341063027,237.127563,3.0803857014,236.198563,2.5785512713,236.866959
Tc 8c 5d,As4s,1,172831.75,25.6841958,236.610229,52.641650218,2.0415443668,234.80217,53.3025693,236.869827,33.391872828,236.290497,11.264013505,236.656235
Tc 8c 5d,As5s,1,173464953,49.0453809,557.858887,64.996234305,0.69381627088,557.406616,28.675667322,558.29895,30.136505366,557.505676,40.494011042,557.817139
Tc 8c 5d,As6s,0.395000011,67110.2031,26.9879192,250.171143,52.969974379,0,249.459351,76.518475352,250.345901,9.6560051325,249.49382,13.825519515,249.675964
Tc 8c 5d,As7s,625,106614594,28.9599359,292.779236,57.770300718,0.074378126584,292.71579,71.694464072,293.132324,22.98628701,291.687439,5.2448707908,292.734558
Tc 8c 5d,As8s,1,171952031,61.5329921,846.258972,78.588175046,0.58937362954,845.88147,29.093957819,846.866394,33.608061695,845.804321,36.708606857,846.198669
Tc 8c 5d,As9s,1,169187781,31.6066951,306.155457,55.350923238,0.33524795106,305.879944,47.235276319,306.79361,33.618652042,305.349182,18.810823687,305.997986
Tc 8c 5d,AsTs,1,170021172,72.1323609,1259.53564,99.779716406,1.6603370346,1258.13147,61.990236292,1259.9425,28.167744195,1258.73779,8.1816824778,1259.47437
Tc 8c 5d,AsJs,1,172873641,35.0812465,338.958954,55.212072027,2.6805351457,336.842682,72.775633746,339.250824,21.889921261,338.253448,2.6539098471,338.902832
Tc 8c 5d,AsQs,1,171465031,37.1701151,316.173248,48.606367492,1.8015930283,314.791534,66.008807609,316.519196,29.746257515,315.495972,2.4433418476,316.085266
Tc 8c 5d,AsKs,1,171050969,38.1371737,325.415741,48.758687118,1.4304293684,324.240845,48.740778751,325.930542,11.853673214,325.064911,37.975118666,324.908478
